"Hashtag","Freq"
"endspousalconloans",13
"endthescam",13
"follow",13
"hypocrisy",13
"insurrectionhasconsequences",13
"ira",13
"justcomply",13
"justice",13
"maximumwagecap",13
"optionstrading",13
"pa07",13
"paulpelosi",13
"pellturns50",13
"premiosgardel",13
"president",13
"presidentbiden",13
"protectourchildren",13
"publicwhore",13
"quietquitting",13
"republicansaredestroyingamerica",13
"revolution",13
"righttoeducation",13
"robotics",13
"singlepayer",13
"studies",13
"supremecourt",13
"techforgood",13
"tensorflow",13
"theroguescholar",13
"tiffanyyoung",13
"trading",13
"trumptreason",13
"tuesdaymotivaton",13
"usury",13
"womensrightsarehumanrights",13
"aliyah",12
"banassaultweaponsnow",12
"bellaescobar",12
"binance",12
"bluewave2022",12
"bospoli",12
"brokensystem",12
"cancelpredatoryloans",12
"clearthelist",12
"climatechange",12
"corruptgop",12
"debtslavery",12
"endstudentloans",12
"extendpaymentpause",12
"felizmiercoles",12
"freepubliccollege",12
"fuckcapitalism",12
"funfact",12
"gates",12
"ghost",12
"health",12
"iamaft",12
"justiceforbreonnataylor",12
"legalweed",12
"lgbtq",12
"lgbtqrights",12
"ligersaalacrossbreed",12
"ma7",12
"makeithappen",12
"moderndayslavery",12
"mybus",12
"nationaldebt",12
"pactact",12
"predatorylending",12
"prochoice",12
"science",12
"sellingcontent",12
"shehulk",12
"stockmarketcrash",12
"thankyoubiden",12
"uninsured",12
"virgo",12
"xrp",12
"amatuerwife",11
"ampfw",11
"antiblack",11
"anxiety",11
"archetypes",11
"axisofevil",11
"bbnaijaseason7",11
"bidenomics",11
"bluecrew",11
"bluewave",11
"boomer",11
"bostonteachersunion",11
"boycottallmedia",11
"brahmashtrareview",11
"brahmastrareview",11
"breaking",11
"calculus",11
"caneloggg3",11
"cardonastinks",11
"cnnpolitics",11
"creditcards",11
"cuttputlli",11
"democracy",11
"doj",11
"endtheduopoly",11
"etfs",11
"fiona",11
"food",11
"forgivestudentdept",11
"fractionalshares",11
"ghosted",11
"governement",11
"hiphop",11
"hypocrite",11
"illustration",11
"india",11
"ineverpaidyou",11
"inflationrelief",11
"keepthehouseblue",11
"liberalismisamentaldisease",11
"livingwages",11
"makesnosense",11
"makethesenatetruebluetoo",11
"masksinger",11
"maths",11
"mutualaid",11
"nationalparentsday",11
"nationalteacherstrike",11
"onhere",11
"otcmarkets",11
"porn",11
"radio",11
"rankedchoicevoting",11
"roevemberiscoming",11
"screwinterest",11
"senatorcreditcard",11
"sendtips",11
"sofi",11
"sonicfrontiers",11
"stock",11
"studentdebtforgiveness",11
"studentdebtreform",11
"swamp",11
"tarpbailout",11
"taxdollars",11
"termlimits",11
"thesonofabush",11
"thursdayvibes",11
"trumpstolethedocs",11
"twitchstreamer",11
"wagonwednesdays",11
"wewontpay",11
"whereismy20k",11
"アイマス17歳おめでとう",11
"10kisnotenough",10
"abortionrightsarehumanrights",10
"aewdynamite",10
"bannegativeamortization",10
"behumane",10
"belgiangp",10
"blacktwitter",10
"blockchain",10
"boomermentality",10
"canceledstudentdebt",10
"chronicillness",10
"credit",10
"cutthemalarkey",10
"debtfreepubliced",10
"depressed",10
"design",10
"disability",10
"dwcs",10
"educationalcrisis",10
"enddarkmoney",10
"equalballotaccess",10
"equaleducation4all",10
"essays",10
"facebookdown",10
"fiverr",10
"flickthepen",10
"fml",10
"formulashortage",10
"freedom",10
"fyp",10
"getcancelled",10
"gopliesabouteverything",10
"grandpaw",10
"greed",10
"handsoffoursocialsecurity",10
"homesforall",10
"jenerationalchange",10
"justsaying",10
"loans",10
"loveislandusa",10
"mancity",10
"nadiedicenada",10
"nftgiveaway",10
"northcarolina",10
"nowarinrussia",10
"publicservice",10
"studentnurse",10
"sundaysermon",10
"thereisnoplanetb",10
"ukrainewar",10
"vmas",10
"voteblueorwearescrewed",10
"votebluetoprotectyourrights",10
"weareallleaders",10
"whywestrike",10
"womenrights",10
"ローソンのロールケーキ食べたい",10
"10000isnotenough",9
"65hea",9
"assignments",9
"asuuwhy",9
"b2bdebt",9
"baddebt",9
"banassaultweapons",9
"beyoncé",9
"bidenadministration",9
"bidenboom",9
"bidendelivers",9
"bipartisan",9
"bts",9
"bwc2022",9
"cancelallofit",9
"cancelinterest",9
"colleges",9
"congress",9
"corporategreed",9
"covidisntover",9
"creditcardconsolidation",9
"creditkarma",9
"debtcollective",9
"debtconsolidation",9
"dnc",9
"florida",9
"freecollegeforall",9
"fridayvibes",9
"getajob",9
"gunreformnow",9
"handsoffdrphophi",9
"humpday",9
"impeachment",9
"instagram",9
"juventus",9
"keeppromise",9
"kojima",9
"landback",9
"learnedvaluablelessons",9
"liberals",9
"medicaldebt",9
"memecoin",9
"mentalawareness",9
"mmt",9
"nftcollector",9
"noobligationconfidentialconsultation",9
"november",9
"nowar",9
"npr",9
"nufc",9
"pickupthepen",9
"psychology",9
"report",9
"saturdaymorning",9
"sdcc10",9
"secure",9
"share",9
"stem",9
"strikedebtcoming",9
"studentloanpause",9
"studentloanstrike",9
"sundaymorning",9
"sundaythoughts",9
"taxrelief",9
"thankyou",9
"titleiloanforgiveness",9
"toolittletoolate",9
"tuition",9
"unions",9
"universalprek",9
"usopen",9
"velshi",9
"wageslavery",9
"waronstudents",9
"abortions",8
"academictwitter",8
"ados",8
"americafirst",8
"atleastthepredatoryinterest",8
"banks",8
"berniesanders",8
"bidenhascancer",8
"blackborrowers",8
"boomers",8
"buyingvotes",8
"campussexualassault",8
"cancelcorporatebankruptcy",8
"cancelstudentdebtinterest",8
"cannabiscommunity",8
"chipsact",8
"chiraq",8
"classism",8
"cobratrailerfromaugust25",8
"communitycollege",8
"constitutionday",8
"corporate",8
"covaxscam",8
"cryptotrading",8
"daca",8
"darkbrandonrising",8
"decriminalizepoverty",8
"democratsdeliverdemocracy",8
"demshellacking",8
"dismantlewhiteness",8
"doitforbettyann",8
"economic",8
"endcapitalism",8
"enddebtslavery",8
"espionageact",8
"fairwage",8
"fashion",8
"flushmohelo",8
"forgiveness",8
"fraud",8
"fud",8
"genshinimpact",8
"goforhoh",8
"happyhalloween2022",8
"housingforall",8
"hypocrites",8
"ifjoebidenshowedupatmydoor",8
"infrastructure",8
"jubilee",8
"justdoit",8
"keepyourpromise",8
"labor",8
"learnmmt",8
"legalizemarijuana",8
"life",8
"live",8
"massshootings",8
"matthohfornc",8
"meanstestingisgarbage",8
"media",8
"meghanmarkle",8
"mortgage",8
"newyork",8
"nftartist",8
"plantforfuture",8
"podcast",8
"presidentjoebiden",8
"ps5",8
"psfl",8
"redhead",8
"repost",8
"resist",8
"resistance",8
"s2958",8
"saturdayvibes",8
"shame",8
"shutdown",8
"slavery",8
"socialsecurityliens",8
"socialworker",8
"stayhome",8
"staywoke",8
"studentloandebtcrisis",8
"survivors",8
"thankateacher",8
"thankfulthursday",8
"thread",8
"trimthemilitarybudget",8
"voetsekeff",8
"volunteer",8
"votethemallout2022",8
"vpotus",8
"waatlagadenge",8
"wednesday",8
"welfare",8
"zonauang",8
"1000xgem",7
"abolishice",7
"activecashcard",7
"akwaibomtwitter",7
"alttext",7
"amc",7
"amenchallenge",7
"arresttrumpnow",7
"avccup2022",7
"bachelorette",7
"bernie2016",7
"between1and2",7
"bidensamerica",7
"bigboobs",7
"biology",7
"callofduty",7
"cancelparentplusloans",7
"cbsnews",7
"clearthelist2022",7
"creditscore",7
"criminaljusticereforms",7
"criminology",7
"cuck",7
"deathtax",7
"debtjubilee",7
"debtslave",7
"democratsaredestroyingamerica",7
"disabilitypridemonth",7
"dobetter",7
"dollar",7
"dontrunjoe",7
"drowning",7
"edtech",7
"endendlesswar",7
"estatetax",7
"explore",7
"fatethewinxsaga",7
"fba",7
"findom",7
"finishthejob",7
"firedejoy",7
"foreverdebt",7
"forgive",7
"fundingsocialsecurity",7
"funny",7
"goat𓁔",7
"google",7
"helpinghand",7
"housingisahumanright",7
"housingsecurity",7
"indenturedservitude",7
"independenceday",7
"jimcrowdebt",7
"joe",7
"keepcancellingjoe",7
"law",7
"lawschool",7
"leftout",7
"legallizeit",7
"lose22",7
